               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.034989,            0.017852,           0.0018083,             0.98928,               0.963,               0.986,             0.71857,            0.018952,            0.012831,          0.00071831,           0.0091915,           0.0091915,           0.0091915
                  51,            0.036251,            0.018702,            0.001805,             0.99094,             0.95876,             0.98569,             0.72513,            0.018874,              0.0128,          0.00068817,            0.009175,            0.009175,            0.009175
                  52,            0.034699,            0.018336,           0.0021262,             0.98107,             0.96281,             0.98467,             0.70207,            0.018498,              0.0128,          0.00069275,           0.0091585,           0.0091585,           0.0091585
                  53,            0.036743,            0.017964,           0.0030952,             0.99234,             0.96422,             0.98779,             0.71819,            0.018038,            0.012695,          0.00076408,            0.009142,            0.009142,            0.009142
                  54,            0.037319,            0.018799,           0.0032324,             0.98831,             0.95371,             0.98784,             0.73521,             0.01746,            0.012991,          0.00093155,           0.0091255,           0.0091255,           0.0091255
                  55,            0.036372,            0.018631,           0.0023822,             0.98181,             0.96323,             0.98838,             0.73103,            0.018534,            0.013048,          0.00082397,            0.009109,            0.009109,            0.009109
                  56,            0.036887,            0.018213,           0.0018678,              0.9916,             0.97061,              0.9884,             0.72642,            0.019564,            0.013324,           0.0007309,           0.0090925,           0.0090925,           0.0090925
                  57,            0.037081,            0.018498,           0.0023406,             0.98829,             0.97143,             0.98922,             0.74178,            0.017389,            0.012555,          0.00060177,            0.009076,            0.009076,            0.009076
                  58,            0.038039,            0.018679,           0.0020915,             0.98483,             0.96876,             0.98975,             0.71705,            0.017961,            0.012891,          0.00069256,           0.0090595,           0.0090595,           0.0090595
                  59,            0.038508,            0.017942,           0.0020859,             0.99024,             0.96592,             0.98905,             0.72733,            0.017267,            0.012449,          0.00056305,            0.009043,            0.009043,            0.009043
                  60,            0.038133,            0.018737,            0.002148,             0.98723,             0.96016,             0.98746,             0.73267,            0.017575,            0.012521,          0.00061111,           0.0090265,           0.0090265,           0.0090265
                  61,            0.032844,            0.017399,           0.0020308,              0.9922,             0.96411,             0.98961,             0.73258,            0.017826,            0.012452,          0.00059433,             0.00901,             0.00901,             0.00901
                  62,            0.036101,            0.017451,           0.0021272,             0.99736,             0.96224,             0.98731,             0.72536,            0.018992,            0.012903,          0.00054874,           0.0089935,           0.0089935,           0.0089935
                  63,            0.036743,             0.01813,            0.002035,             0.98669,             0.95658,              0.9862,             0.74178,            0.017562,            0.012366,          0.00091248,            0.008977,            0.008977,            0.008977
                  64,            0.034521,            0.016601,           0.0017348,              0.9914,             0.96132,              0.9849,             0.71326,            0.019447,             0.01273,          0.00058804,           0.0089605,           0.0089605,           0.0089605
                  65,            0.036587,            0.017906,            0.002075,             0.99098,             0.96095,             0.98806,             0.72913,            0.017632,            0.012351,          0.00057125,            0.008944,            0.008944,            0.008944
                  66,            0.034311,            0.018256,           0.0017395,             0.99312,             0.96202,             0.98858,             0.74701,            0.016875,            0.012193,          0.00053921,           0.0089275,           0.0089275,           0.0089275
                  67,            0.035553,            0.017487,             0.00195,             0.98605,             0.96071,             0.99158,             0.73955,            0.018623,            0.012667,          0.00060978,            0.008911,            0.008911,            0.008911
                  68,            0.035938,            0.018238,           0.0024512,              0.9918,             0.95864,             0.98599,             0.73527,            0.016986,            0.012367,          0.00068932,           0.0088945,           0.0088945,           0.0088945
